,Row,Col,Sym,Diag
14,"(0.32642625660425595, 0.3232533505681261)","(0.19332277008732568, 0.19206101800340203)","(0.3204385329880758, 0.31850957427684645)","(0.3267234346800403, 0.3251417477293086)"
15,"(0.4806501383383672, 0.47625760564334507)","(0.3378296738386476, 0.3362286826423516)","(0.46358995202344, 0.4605471888795195)","(0.4708692832691388, 0.4694126834429187)"
16,"(0.3972715490949035, 0.3925163978055132)","(0.3377194225606104, 0.336497517614612)","(0.3842041139409851, 0.38053379667013676)","(0.3926223161555037, 0.3913374363898273)"
17,"(0.35719324225375093, 0.3535101694230094)","(0.30444648229842153, 0.3037648505935955)","(0.3423128513098298, 0.34007906978633107)","(0.3470906744054987, 0.34667311123382444)"
18,"(0.37342183815501784, 0.3694600372968564)","(0.30769953787928994, 0.30665077375530736)","(0.3588382546219042, 0.3566040692682726)","(0.3554952328211961, 0.3520357650060238)"
19,"(0.44320072069244787, 0.4403013369816563)","(0.385914585631735, 0.38526355238780285)","(0.4318346001957081, 0.4285982787533572)","(0.423540386055118, 0.4205427009561073)"
20,"(0.40450765814939726, 0.40126430173740424)","(0.2895422584852374, 0.2873077562047617)","(0.3802690744991898, 0.3742255413722846)","(0.39952384437186617, 0.39770644453536697)"
21,"(0.35315739499218723, 0.349135008866695)","(0.3524767699943706, 0.35158740036400515)","(0.3476861518639687, 0.34401548895263834)","(0.34395284859983133, 0.32570047081705256)"
22,"(0.34431745355165644, 0.33426867320312736)","(0.36513394118629194, 0.3637101696031635)","(0.34431745355165644, 0.33092547178935694)","(0.31414674604605664, 0.31310330614777443)"
23,"(0.37702573019601193, 0.3721312738648115)","(0.33388188891476156, 0.33198404226701583)","(0.3572205961827791, 0.35503327487803027)","(0.3695563340331939, 0.367976348784302)"
24,"(0.37553987334628536, 0.3730068115353048)","(0.3892518262006954, 0.38820132852211797)","(0.37553987334628536, 0.3692100746970435)","(0.3760562755607251, 0.37400618691862375)"
25,"(0.3612003880930892, 0.3598731969893719)","(0.34695300946489616, 0.3461294790575844)","(0.35396362889738153, 0.35088539133185126)","(0.3593013756516802, 0.35796663232385456)"
26,"(0.41616356771361174, 0.411406780993393)","(0.44026233677075455, 0.4396925628498589)","(0.41616356771361174, 0.39905918665915086)","(0.36105616438799737, 0.35915355616610467)"
27,"(0.35526312422798767, 0.35083416066940853)","(0.28847088315924774, 0.2858700102850522)","(0.3481342300066167, 0.3420041391016131)","(0.35577883131541066, 0.3543121789474361)"
28,"(0.49988585189408863, 0.4932438938184661)","(0.3556408345609986, 0.35510034572954463)","(0.4886330493869123, 0.4830832471210905)","(0.3961323866210711, 0.38261002939372624)"
29,"(0.3848224599347555, 0.3790802012211718)","(0.3123023548466255, 0.31128690699060024)","(0.37968662500435346, 0.3727079300468318)","(0.3830075016130665, 0.3820608936005204)"
30,"(0.44612868090800695, 0.4267975813349565)","(0.4006386101317526, 0.40006975489066965)","(0.4419679828869837, 0.41678328406914655)","(0.4508260934695868, 0.4424332737059984)"
31,"(0.39451576037647573, 0.3859790954121475)","(0.3605758576156254, 0.35893904885256167)","(0.3766245098492509, 0.37329996339151283)","(0.3939539498349315, 0.3814714753573363)"
