,Row,Col,Sym,Diag
25,"(0.4301411608576269, 0.4150706382981362)","(0.29440895458841543, 0.291249344546618)","(0.4155068572027186, 0.39490202227430393)","(0.42668120756508, 0.41630942958072475)"
26,"(0.4419247937567584, 0.4350168858236708)","(0.45368991164452643, 0.4529739213644558)","(0.4412725958859609, 0.431661035880754)","(0.3423427699802142, 0.333385886349287)"
27,"(0.4372297634906339, 0.4339187900634628)","(0.3316622834568438, 0.33099572887346296)","(0.4330328586185799, 0.4301242674260374)","(0.41912306553391043, 0.41768893895666037)"
28,"(0.3828648856375416, 0.37924471611936006)","(0.28483772413082586, 0.284489920834217)","(0.37325284665037306, 0.3677487227262426)","(0.38287136059045634, 0.38057633133100754)"
29,"(0.3539596877673582, 0.3474250225288885)","(0.29856911272777864, 0.29645797144761254)","(0.3496550309659331, 0.3416859043224205)","(0.2939651624952422, 0.2933663009850572)"
30,"(0.4585689726659157, 0.45319577568396285)","(0.2693540635548788, 0.26849684544023356)","(0.44891767652239645, 0.4457318756721661)","(0.4555600636195998, 0.4551526203810415)"
31,"(0.3679344193074573, 0.3641125986380791)","(0.34997052413901375, 0.34934848692492804)","(0.36171104456396286, 0.35813438012483156)","(0.366223777090102, 0.36523202352035505)"
32,"(0.36694070255814004, 0.36112106207047534)","(0.2666072034450324, 0.2662123424446009)","(0.36265173015859076, 0.35702931606941457)","(0.3708964847267465, 0.3676342149301717)"
33,"(0.3470016012337235, 0.3427708391638924)","(0.3513737218508839, 0.350679951001333)","(0.3432757664549182, 0.3378033058200235)","(0.31888118478735206, 0.31396217318705255)"
34,"(0.4069526993237622, 0.4025797142052887)","(0.3653055999445787, 0.36436910678615875)","(0.4025947803236253, 0.39643240872786556)","(0.3938679614004612, 0.37809199436609303)"
35,"(0.4137863354746397, 0.4096619307955309)","(0.3109387046712331, 0.3091551887170523)","(0.40103143271047303, 0.3963744758358907)","(0.3584046021691434, 0.3576668661329264)"
36,"(0.4687995105969335, 0.4635931888685245)","(0.37097884201805453, 0.36912326952034347)","(0.4638974481702731, 0.45817044228902704)","(0.4732111459594154, 0.4716148918376883)"
37,"(0.36457575355841654, 0.35910819804907435)","(0.35710460176900216, 0.3562529050048405)","(0.35918508762932666, 0.35366853761003747)","(0.36237838079382867, 0.360444831868334)"
38,"(0.37358135075416266, 0.3722743320903952)","(0.33560301127056513, 0.3331275136018693)","(0.36727119368338046, 0.36201955081350023)","(0.37511583007923055, 0.3731538907739666)"
