,Row,Col,Sym,Diag
15,"(0.4532877885928651, 0.440221339984883)","(0.4639314877648423, 0.4622825286294092)","(0.4513400990919626, 0.4342843050221131)","(0.4125482077478624, 0.41050057369453663)"
16,"(0.3560322415188778, 0.35160873908053536)","(0.357092200590744, 0.3560093343879682)","(0.34014378471057427, 0.33759189985659765)","(0.3559985599748243, 0.3537266159936561)"
17,"(0.398232806851857, 0.3960678645109401)","(0.3756069990364401, 0.37436338822742)","(0.39217212647653565, 0.38934194869552174)","(0.4122447205005577, 0.41053619392593876)"
18,"(0.3634653408497964, 0.36119966544068693)","(0.31725477365543076, 0.31597676581133194)","(0.35909083028930966, 0.3570811307318149)","(0.37333859759413635, 0.37228998755221876)"
19,"(0.3636097832725059, 0.3604327711870211)","(0.36849834194908637, 0.36798459278348317)","(0.36093059428690333, 0.3592079793489702)","(0.332845061236284, 0.32991745737908373)"
20,"(0.3988147876360043, 0.3965361435722289)","(0.30926504433622704, 0.30894039614704516)","(0.3932798536446166, 0.3896693354293753)","(0.3982376319446178, 0.3980461136532435)"
21,"(0.33661177962701927, 0.3356769267919798)","(0.3349005459782345, 0.3332764850823493)","(0.3221435051664542, 0.3195892379299966)","(0.3256512282096736, 0.32115205108684897)"
22,"(0.3524667278829081, 0.34904069282053807)","(0.3451965070041143, 0.34415165105842305)","(0.34337812046020755, 0.34184451304102526)","(0.33192663102686293, 0.32951500189258925)"
23,"(0.4137701617908073, 0.41126991933727697)","(0.30629395037265006, 0.3034307745817195)","(0.39543715364224596, 0.39418653935203585)","(0.38531470422696334, 0.3841778695551742)"
24,"(0.3810028217401832, 0.37652887702288673)","(0.35856144488613373, 0.3557594194644038)","(0.36887578030937407, 0.366470248348702)","(0.3841388573301535, 0.3762566975735941)"
25,"(0.4812986701921508, 0.4730898627748642)","(0.2812223661068314, 0.27953087540851007)","(0.4644203895355148, 0.45252571154242605)","(0.46907137867740656, 0.45134185412664835)"
26,"(0.45631072733962474, 0.44932515804854)","(0.2488472334185049, 0.24800486321542514)","(0.45070777532915773, 0.4439890473944397)","(0.4572812740647101, 0.45507934527286065)"
27,"(0.35616636235051524, 0.3526849493609653)","(0.3565165253875069, 0.3543889429674615)","(0.3415690598037019, 0.33759661912997907)","(0.3511487585309614, 0.3444482584673561)"
28,"(0.42752116390288664, 0.4237118153725158)","(0.404395534586681, 0.4040006763799662)","(0.4206762184574573, 0.4170697110410101)","(0.4292759997577591, 0.4275078282009498)"
29,"(0.3836800817152791, 0.36950508730645226)","(0.4008634300773136, 0.3996276461587269)","(0.3836800817152791, 0.362342456564403)","(0.29287518698919224, 0.2915379234322465)"
30,"(0.41489360664248887, 0.4125826390383053)","(0.376136647336508, 0.37338229314030946)","(0.4073593847141055, 0.4040455045483087)","(0.41504137359679794, 0.4138015124110365)"
31,"(0.4167005113749298, 0.407461003095983)","(0.32453728693830597, 0.3225325434184815)","(0.39361013926290256, 0.38419924591386345)","(0.39854908909776476, 0.39542386929528484)"
32,"(0.4236586413555321, 0.42150558542788374)","(0.34048128813035416, 0.3389120306172664)","(0.40510967771825646, 0.404025977874083)","(0.41444295084966765, 0.4136575025799413)"
33,"(0.32059753461141527, 0.30754088040906147)","(0.26773202514834216, 0.2655566978909999)","(0.31417700229642787, 0.29919181023810615)","(0.3173598201451465, 0.30899890310668215)"
34,"(0.41117715858040205, 0.36848322654831445)","(0.39598371066696336, 0.38830682267858785)","(0.38180372977890886, 0.35884562704291545)","(0.38800626831899043, 0.3693090336990621)"
35,"(0.3347425129558368, 0.3280844328939251)","(0.27981377285892095, 0.27850102399159193)","(0.3295026172957092, 0.32260956116272277)","(0.3349152719833455, 0.3317400727047151)"
36,"(0.5029976589580125, 0.4873616578233221)","(0.3823237627303777, 0.37565979995702914)","(0.48269727748052915, 0.4721633687915271)","(0.4903375702118963, 0.48252875181307986)"
