HeterType,StatType,row,col,sym,diag
Permanent,meanMax,0.13180539885867337,0.11159763516279825,0.12903852418577716,0.1244476893445472
Permanent,mean95Procentile,0.12961098540392962,0.11113207838067057,0.126633440346413,0.1231874622252732
Temporary,meanMax,0.035768045497734755,0.030365479850589606,0.035017373755580734,0.033929107255756784
Temporary,mean95Procentile,0.035180364283615415,0.030242460057623342,0.034375158226758414,0.033541149609127824
Shifted,meanMax,0.13310417623335266,0.11253143534962046,0.13037603454834676,0.12490186606793724
Shifted,mean95Procentile,0.13127363159161182,0.11205304738808806,0.1283467018232077,0.12353700932285099
Outlier,meanMax,0.13173323685395288,0.11131362763141835,0.12875920561556847,0.12469862642499843
Outlier,mean95Procentile,0.12967255958959575,0.11087213910429973,0.12653411898045383,0.12321175574629478
